objectid,filename,youtubeid,format,local_identifier,title,description,creator,date_created,date,rights_statement,coordinates,coordinate,latitude,longitude,subject,location,provider,repository,archival_collection
kintner:6,kintner:6.jpg,,image/jpeg,kintner_6,View of Mount Chapman,Uncaptioned.,"Kintner, Elgin P.",circa Fall 1968,1968-23,In Copyright,,,,,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.),"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:15,kintner:15.jpg,,image/jpeg,kintner_15,Looking Southeast from Cove Mountain,"From Cove Mountain Looking Southeast: Mt Collins, Clingmans Dome, and Mt Buckley. | Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing. Sugarland Mountain is in the middleground on the left with Bent Arm on the right.","Kintner, Elgin P.","February 20, 1972",1972-02-20,In Copyright,"35.70926, -83.58711 | 35.58681, -83.47238 | 35.56287, -83.4985 | 35.56203, -83.50627","35.70926, -83.58711 ",35.70926,-83.58711,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Cove Mountain; Mount Collins; Clingmans Dome; Mount Buckley,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:14,kintner:14.jpg,,image/jpeg,kintner_14,"Looking Southeast from Cove Mountain, Annotated","From Cove Mountain Looking Southeast: Mt Collins, Clingmans Dome, and Mt Buckley. | Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing. Sugarland Mountain is in the middleground on the left with Bent Arm on the right.","Kintner, Elgin P.","February 20, 1972",1972-02-20,In Copyright,"35.70926, -83.58711 | 35.58681, -83.47238 | 35.56287, -83.4985 | 35.56203, -83.50627","35.70926, -83.58711 ",35.70926,-83.58711,"Photography, Panoramic; Geography--Terminology",Great Smoky Mountains (N.C. and Tenn.); Cove Mountain; Mount Collins; Clingmans Dome; Mount Buckley,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:28,kintner:28.jpg,,image/jpeg,kintner_28,Panorama of Lake Fontana,"Hike to Shuckstack where there was a little frost. | View of Lake Fontana taken looking Southeast from Shuckstack Fire Tower, which is still standing.","Kintner, Elgin P.","February 23, 1974",1974-02-23,In Copyright,"35.48546, -83.81507 | 35.42915, -83.64686","35.48546, -83.81507 ",35.48546,-83.81507,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Shuckstack; Fontana Lake,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:7,kintner:7.jpg,,image/jpeg,kintner_7,"View from Rich Mountain, Annotated","Uncaptioned. | Panorama taken looking South from the Rich Mountain Fire Tower, which no longer exists, viewing Cold Spring Knob on left, Gregory Bald on right, and Cades Cove below.","Kintner, Elgin P.","circa February 5, 1969",1969-02-05,In Copyright,"35.6287, -83.7849 | 35.58065, -83.60822 | 35.52067, -83.86553 | 35.59426, -83.84184","35.6287, -83.7849 ",35.6287,-83.7849,"Photography, Panoramic; Geography--Terminology",Great Smoky Mountains (N.C. and Tenn.); Rich Mountain; Cold Spring Knob; Gregory Bald; Cades Cove,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:5,kintner:5.jpg,,image/jpeg,kintner_5,On top of the Hangover,"We had lunch on top of Hangover.  You can see Clingmans Dome, 30 miles away!","Kintner, Elgin P.",February 1981,1981-02,In Copyright,"35.56287, -83.4985","35.56287, -83.4986",35.56287,-83.4986,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Clingmans Dome,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:16,kintner:16.jpg,,image/jpeg,kintner_16,Looking Southwest from Cove Mountain,From Cove Mountain Looking Southwest: Round Top and Townsend.,"Kintner, Elgin P.","February 20, 1972",1972-02-20,In Copyright,"35.70926, -83.58711 | 35.38616, -83.59193 | 35.67537, -83.75573","35.70926, -83.58711 ",35.70926,-83.58711,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Cove Mountain; Round Top; Townsend,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:17,kintner:17.jpg,,image/jpeg,kintner_17,"View of Thunderhead and Clingmans Dome from High Rocks, Annotated","View from High Rocks. | Panorama taken looking North from High Rocks Fire tower, which was removed in the 1980s, viewing Thunderhead on left and Clingmans Dome on right.","Kintner, Elgin P.",February 1973,1973-02,In Copyright,"35.49973, -83.62115 | 35.5687, -83.70628 | 35.56287, -83.4985","35.49973, -83.62115 ",35.49973,-83.62115,"Photography, Panoramic; Geography--Terminology",Great Smoky Mountains (N.C. and Tenn.); High Rocks; Thunderhead Mountain; Clingmans Dome,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:4,kintner:4.jpg,,image/jpeg,kintner_4,Panorama taken from an unidentified fire tower,Uncaptioned.,"Kintner, Elgin P.",circa 1968,1968,In Copyright,,,,,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.),"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
kintner:13,kintner:13.jpg,,image/jpeg,kintner_13,Looking Southeast from Cove Mountain,"From Cove Mountain Looking Southeast: Mt Le Conte, Bull Head, Newfound Gap, and Mt Mingus. | Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing, viewing Rocky Spur on the left and Mount Mingus on the right.","Kintner, Elgin P.","February 20, 1972",1972-02-20,In Copyright,"35.70926, -83.58711 | 35.65435, -83.43672 | 35.66232, -83.48822 | 35.61121, -83.42488 | 35.61772, -83.45909 | 35.66259, -83.45099 | 35.70926, -83.58711","35.70926, -83.58711 ",35.70926,-83.58711,"Photography, Panoramic",Great Smoky Mountains (N.C. and Tenn.); Cove Mountain; Mount Le Conte; Bullhead; Newfound Gap; Mount Mingus; Rocky Spur; Cove Mountain,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","Elgin P. Kintner, M.D. Smoky Mountains Collection, MS.3686"
